Date,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
,A,AAP,AAPL,ACGL,ADM,ADP,AEE,ALB,AMT,APA,GOOGL,A,AAP,AAPL,ACGL,ADM,ADP,AEE,ALB,AMT,APA,GOOGL,A,AAP,AAPL,ACGL,ADM,ADP,AEE,ALB,AMT,APA,GOOGL
2000-02-09,55.53,92.12691075088505,1.02,1.67,10.6,36.93,32.5,8.62,42.5,15.88,38.47300021353833,46.29,86.55759455934415,0.86,1.61,6.2,21.94,10.77,5.85,33.88,11.64,38.47677343583173,1182848,1174509.7074715856,299364800,476100,2424177,2266904,328900,98800,1885100,2184105,123844353.11894085
2000-02-10,55.08,92.12691075088505,1.01,1.62,10.26,35.84,31.56,8.41,41.88,15.58,38.47300021353833,46.87,86.55759455934415,0.86,1.61,6.03,23.09,10.62,5.85,35.55,12.16,38.47677343583173,1066814,1174509.7074715856,302982400,184500,1892000,2229958,367100,522200,2589300,1570338,123844353.11894085
2000-02-11,54.72,92.12691075088505,1.01,1.6,10.03,37.27,31.12,8.44,44.5,16.02,38.47300021353833,46.06,86.55759455934415,0.83,1.58,6.03,22.33,10.58,5.54,35.8,11.87,38.47677343583173,751705,1174509.7074715856,212251200,322200,1266883,1208351,446200,135000,1212700,498729,123844353.11894085
2000-02-14,53.83,92.12691075088505,0.98,1.57,10.09,36.43,31.25,7.97,44.44,15.42,38.47300021353833,46.71,86.55759455934415,0.88,1.57,6.13,22.58,10.67,5.69,36.31,12.53,38.47677343583173,837682,1174509.7074715856,367539200,212400,1215947,1729999,261500,56200,1778700,1660428,123844353.11894085
2000-02-15,54.77,92.12691075088505,1.03,1.57,10.09,36.93,31.25,8.31,45.0,16.72,38.47300021353833,50.04,86.55759455934415,0.9,1.59,6.17,22.45,10.62,5.85,36.92,13.28,38.47677343583173,2017594,1174509.7074715856,485744000,51300,1021797,2317089,199700,76200,1119500,1852851,123844353.11894085
2000-02-16,57.22,92.12691075088505,1.05,1.6,10.09,36.68,31.0,8.44,45.88,17.34,38.47300021353833,49.5,86.55759455934415,0.87,1.62,6.24,22.3,10.56,5.63,37.22,13.32,38.47677343583173,1801742,1174509.7074715856,378246400,88200,719271,2399302,154000,86000,479400,2221296,123844353.11894085
2000-02-17,57.94,92.12691075088505,1.03,1.63,10.32,36.43,30.94,8.22,45.88,17.53,38.47300021353833,59.28,86.55759455934415,0.87,1.65,6.31,22.15,10.41,5.72,36.41,13.07,38.47677343583173,944908,1174509.7074715856,289497600,40500,958734,1387656,186900,82400,1402200,1882650,123844353.11894085
2000-02-18,63.3,92.12691075088505,1.02,1.67,10.32,36.03,30.5,8.28,44.25,16.94,38.47300021353833,57.29,86.55759455934415,0.85,1.58,6.31,21.69,10.32,5.52,34.59,12.41,38.47677343583173,4060072,1174509.7074715856,233441600,27900,1192244,1585874,463200,60400,749700,1285053,123844353.11894085
2000-02-22,68.67,92.12691075088505,0.98,1.62,10.32,35.29,30.5,7.97,43.25,16.31,38.47300021353833,55.92,86.55759455934415,0.86,1.56,6.31,20.41,10.39,5.52,33.17,12.12,38.47677343583173,2227993,1174509.7074715856,422296000,292500,1123889,4049736,209700,123800,710700,1481634,123844353.11894085
2000-02-23,65.54,92.12691075088505,1.01,1.56,10.32,33.26,30.38,8.03,41.75,15.91,38.47300021353833,60.5,86.55759455934415,0.88,1.58,6.1,21.17,10.32,5.46,35.05,11.81,38.47677343583173,1690042,1174509.7074715856,473099200,128700,959396,2999758,292300,95600,992100,1581657,123844353.11894085
2000-02-24,72.51,92.12691075088505,1.05,1.58,10.03,35.19,30.25,7.88,43.56,15.4,38.47300021353833,65.24,86.55759455934415,0.88,1.66,6.06,21.75,9.86,5.33,34.79,11.12,38.47677343583173,2956351,1174509.7074715856,376432000,178200,1144726,2610886,397900,41400,764300,4161927,123844353.11894085
2000-02-25,73.94,92.12691075088505,1.03,1.63,9.98,35.39,28.88,7.72,43.06,14.61,38.47300021353833,66.08,86.55759455934415,0.84,1.56,5.89,20.93,9.86,5.3,34.39,10.85,38.47677343583173,2048210,1174509.7074715856,249144000,143100,2071157,2241685,297400,63600,709800,2860011,123844353.11894085
2000-02-28,77.34,92.12691075088505,0.98,1.53,9.69,34.0,29.12,7.62,42.5,14.18,38.47300021353833,61.72,86.55759455934415,0.86,1.61,5.82,21.69,10.26,5.3,36.56,11.37,38.47677343583173,1675363,1174509.7074715856,328328000,18900,2032349,2535735,652300,110800,855700,3405402,123844353.11894085
2000-02-29,72.56,92.12691075088505,1.01,1.54,9.58,35.59,29.94,7.66,46.5,14.75,38.47300021353833,63.48,86.55759455934415,0.87,1.69,5.55,21.23,10.24,5.22,39.85,12.12,38.47677343583173,958049,1174509.7074715856,368961600,173700,2621525,2114205,767000,194800,1093600,2779854,123844353.11894085
2000-03-01,74.75,92.12691075088505,1.06,1.65,9.01,34.55,29.81,7.5,49.25,15.91,38.47300021353833,66.69,86.55759455934415,0.99,1.65,5.68,21.57,10.07,5.04,39.55,11.91,38.47677343583173,1037875,1174509.7074715856,1077003200,77400,2075787,1471634,317700,123200,1480500,4305147,123844353.11894085
2000-03-02,78.64,92.12691075088505,1.13,1.65,9.24,35.04,28.81,7.28,49.0,15.58,38.47300021353833,64.35,86.55759455934415,0.93,1.67,5.48,21.08,9.88,5.17,39.24,12.51,38.47677343583173,1188300,1174509.7074715856,311259200,77400,1665106,1323474,580800,156600,1208600,5214594,123844353.11894085
2000-03-03,75.06,92.12691075088505,1.11,1.66,9.01,33.71,29.0,7.44,48.75,16.88,38.47300021353833,66.0,86.55759455934415,0.97,1.67,5.72,21.05,9.96,5.2,41.17,12.62,38.47677343583173,1215841,1174509.7074715856,323366400,72000,2056383,2809483,273600,65000,1843200,2681910,123844353.11894085
2000-03-06,80.83,92.12691075088505,1.12,1.67,9.13,34.25,29.0,7.5,50.44,16.34,38.47300021353833,97.17,86.55759455934415,0.96,1.65,5.44,21.42,9.62,5.39,41.27,12.99,38.47677343583173,5693495,1174509.7074715856,210560000,372600,1478894,2528925,2242900,179000,1335100,3248553,123844353.11894085
2000-03-07,111.59,92.12691075088505,1.13,1.65,8.96,34.89,27.75,7.84,51.5,17.32,38.47300021353833,86.78,86.55759455934415,0.93,1.66,5.27,21.2,9.73,5.2,40.15,14.26,38.47677343583173,7710809,1174509.7074715856,273011200,18000,1299407,2734710,294700,222600,1100300,4916373,123844353.11894085
2000-03-08,104.43,92.12691075088505,1.1,1.64,8.73,34.4,27.94,7.88,50.0,18.83,38.47300021353833,92.89,86.55759455934415,0.93,1.66,5.31,21.13,9.78,5.46,43.64,14.05,38.47677343583173,3953963,1174509.7074715856,271230400,134100,952781,2231598,489500,152400,2308000,3939474,123844353.11894085
2000-03-09,105.15,92.12691075088505,1.08,1.65,8.73,34.3,28.0,7.78,52.06,18.34,38.47300021353833,93.5,86.55759455934415,0.93,1.67,5.24,21.49,9.8,5.35,43.39,13.78,38.47677343583173,2514583,1174509.7074715856,276718400,322200,1364344,3092814,379700,161200,3095000,2056824,123844353.11894085
2000-03-10,109.44,92.12691075088505,1.09,1.67,8.84,34.94,28.31,7.69,53.5,18.02,38.47300021353833,86.78,86.55759455934415,0.96,1.66,5.31,21.55,9.82,5.54,44.35,13.53,38.47677343583173,2479353,1174509.7074715856,248606400,164700,1312857,2254168,216800,167600,1502800,2914296,123844353.11894085
2000-03-13,93.03,92.12691075088505,1.09,1.65,8.67,34.89,28.25,7.81,53.5,17.37,38.47300021353833,80.21,86.55759455934415,0.92,1.65,5.24,22.01,9.82,5.47,43.49,13.68,38.47677343583173,2626702,1174509.7074715856,303956800,98100,1366880,1792919,252800,85600,466900,1679601,123844353.11894085
2000-03-14,95.14,92.12691075088505,1.08,1.65,8.56,38.07,28.12,7.91,54.06,17.75,38.47300021353833,74.18,86.55759455934415,0.87,1.65,5.0,23.08,9.71,5.52,40.05,13.72,38.47677343583173,3522960,1174509.7074715856,428579200,84600,2663309,2700412,299800,139200,1008300,1497342,123844353.11894085
2000-03-15,91.65,92.12691075088505,1.03,1.65,8.16,37.47,27.81,7.91,49.31,17.99,38.47300021353833,69.82,86.55759455934415,0.88,1.66,5.1,23.99,10.15,6.02,36.11,13.36,38.47677343583173,3046242,1174509.7074715856,443609600,672300,5254295,4394475,446000,141200,1186700,897435,123844353.11894085
2000-03-16,82.98,92.12691075088505,1.05,1.66,8.67,39.65,29.31,8.66,46.0,17.1,38.47300021353833,72.15,86.55759455934415,0.92,1.66,5.65,26.74,10.69,6.47,36.41,14.05,38.47677343583173,2769578,1174509.7074715856,378100800,463500,3064068,6838287,483700,368600,1505500,2640330,123844353.11894085
2000-03-17,85.35,92.12691075088505,1.07,1.67,9.41,43.42,30.38,9.12,45.5,18.67,38.47300021353833,74.02,86.55759455934415,0.95,1.65,5.82,26.38,10.52,6.61,41.06,13.66,38.47677343583173,1563803,1174509.7074715856,305043200,897300,2553611,3553685,806100,267800,1159800,1565718,123844353.11894085
2000-03-20,86.15,92.12691075088505,1.1,1.66,9.47,42.43,30.12,9.47,52.88,18.07,38.47300021353833,69.52,86.55759455934415,0.93,1.66,5.65,25.52,10.56,6.85,38.84,13.45,38.47677343583173,1420648,1174509.7074715856,204489600,7200,1090152,2472310,448600,275800,943700,1306074,123844353.11894085
2000-03-21,79.22,92.12691075088505,1.09,1.66,9.3,40.55,30.25,9.75,48.06,17.64,38.47300021353833,70.28,86.55759455934415,1.03,1.67,5.65,25.64,10.63,6.89,38.74,13.8,38.47677343583173,2528283,1174509.7074715856,524328000,1405800,1886929,2277117,508100,353400,889100,1511202,123844353.11894085
2000-03-22,81.23,92.12691075088505,1.19,1.67,9.47,41.04,30.44,9.88,48.12,17.91,38.47300021353833,72.99,86.55759455934415,1.1,1.67,5.79,25.09,10.52,6.56,42.88,14.36,38.47677343583173,1967965,1174509.7074715856,567996800,16200,1825299,2591846,646400,338000,1099900,2446521,123844353.11894085
2000-03-23,85.3,92.12691075088505,1.27,1.67,9.52,39.95,29.88,9.31,53.12,18.45,38.47300021353833,73.14,86.55759455934415,1.07,1.67,5.82,25.12,10.54,6.52,42.23,14.17,38.47677343583173,1951888,1174509.7074715856,562564800,2397600,2009527,2529052,321900,399200,440900,2123583,123844353.11894085
2000-03-24,84.94,92.12691075088505,1.27,1.67,9.58,40.45,30.06,9.25,53.5,18.48,38.47300021353833,73.34,86.55759455934415,1.05,1.72,5.65,25.4,10.65,6.58,42.08,14.17,38.47677343583173,1230520,1174509.7074715856,446913600,340200,1318700,2204488,338500,61600,1646100,1514436,123844353.11894085
2000-03-27,84.54,92.12691075088505,1.23,1.69,9.18,41.04,30.62,9.38,52.0,18.53,38.47300021353833,69.82,86.55759455934415,1.06,1.72,5.65,25.37,10.8,6.58,40.71,14.15,38.47677343583173,846769,1174509.7074715856,279182400,746100,848594,2425529,229200,67800,550500,1849617,123844353.11894085
2000-03-28,81.55,92.12691075088505,1.23,1.72,9.24,41.19,31.0,9.38,50.5,18.61,38.47300021353833,72.8,86.55759455934415,1.06,1.74,5.51,23.66,10.58,6.39,41.22,14.71,38.47677343583173,1392548,1174509.7074715856,202966400,139500,1211868,2987527,353500,63800,643400,1950102,123844353.11894085
2000-03-29,85.12,92.12691075088505,1.24,1.72,9.3,38.96,30.38,9.09,51.31,18.72,38.47300021353833,68.45,86.55759455934415,1.03,1.76,5.55,23.26,10.72,6.26,40.36,15.88,38.47677343583173,1250371,1174509.7074715856,239836800,1056600,1118486,2327302,369900,134400,487800,4992603,123844353.11894085
2000-03-30,77.39,92.12691075088505,1.19,1.76,9.18,38.27,30.94,9.03,49.75,21.27,38.47300021353833,64.17,86.55759455934415,0.96,1.78,5.72,23.17,10.69,6.67,40.46,16.46,38.47677343583173,2034230,1174509.7074715856,414400000,584100,1761354,2316206,453500,83800,673700,6262641,123844353.11894085
2000-03-31,75.82,92.12691075088505,1.14,1.81,9.41,37.62,30.94,9.66,50.0,21.86,38.47300021353833,63.56,86.55759455934415,1.03,1.82,5.68,23.57,10.8,7.24,39.95,16.55,38.47677343583173,3732940,1174509.7074715856,404633600,70200,1365777,3128751,320500,418200,529400,4993989,123844353.11894085
2000-04-03,73.68,92.12691075088505,1.21,1.83,9.58,39.45,30.88,10.19,49.0,21.43,38.47300021353833,59.89,86.55759455934415,1.01,1.78,5.79,24.42,10.87,6.98,36.51,16.25,38.47677343583173,2030875,1174509.7074715856,328563200,438300,1151231,2632574,496600,172000,1132800,2370060,123844353.11894085
2000-04-04,70.1,92.12691075088505,1.18,1.78,9.18,40.4,31.06,10.0,46.0,21.32,38.47300021353833,57.14,86.55759455934415,0.97,1.84,5.82,24.91,11.15,7.06,35.55,15.9,38.47677343583173,3519884,1174509.7074715856,660329600,716400,1338656,3094075,640600,154400,1090900,2684220,123844353.11894085
2000-04-05,66.34,92.12691075088505,1.13,1.75,9.35,41.19,31.88,10.16,44.0,20.35,38.47300021353833,59.24,86.55759455934415,0.99,1.78,5.86,24.51,11.37,6.82,37.78,15.51,38.47677343583173,2109163,1174509.7074715856,457665600,788400,1436558,3224330,376900,86200,519600,1876182,123844353.11894085
2000-04-06,70.37,92.12691075088505,1.17,1.75,9.69,40.0,32.62,9.84,48.75,20.4,38.47300021353833,64.17,86.55759455934415,0.95,1.78,5.93,25.61,11.24,6.93,40.46,16.03,38.47677343583173,1375073,1174509.7074715856,259627200,378900,1492454,1799350,366700,99400,1355700,1560405,123844353.11894085
