Date,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
,A,ABBV,ABT,ALGN,AMGN,BAX,BDX,BIIB,BMY,CI,CNC,CVS,DGX,DXCM,GILD,HCA,HSIC,HUM,IDXX,IQV,ISRG,JNJ,LLY,MCK,MDT,MRK,MTD,PFE,PKI,REGN,RMD,STE,SYK,TFX,TMO,UNH,VRTX,WBA,XRAY,ZBH,A,ABBV,ABT,ALGN,AMGN,BAX,BDX,BIIB,BMY,CI,CNC,CVS,DGX,DXCM,GILD,HCA,HSIC,HUM,IDXX,IQV,ISRG,JNJ,LLY,MCK,MDT,MRK,MTD,PFE,PKI,REGN,RMD,STE,SYK,TFX,TMO,UNH,VRTX,WBA,XRAY,ZBH
2000-02-01,43.39,71.07848214285714,8.7,108.75364190886256,48.53,10.94,18.51,44.31,26.75,21.01,25.643522493933173,12.47,6.33,26.75990484620491,1.1,100.4654716358839,2.62,7.48,4.06,123.26110932475885,75.23147818499127,23.42,33.29,17.35,31.45,31.16,32.0,15.94,20.42,12.62,4.73,8.29,13.12,22.29,14.53,5.55,19.8,18.69,7.2,80.24488994864271,1404291,7727692.546583851,8050775,816232.9207032651,9902700,2967692,481033,1500900,4424146,1221000,2903558.1295501213,3393400,214000,2787565.479088294,31091200,2627121.4379947227,878730,783600,1814000,1076188.7459807075,4043630.4799301918,6079200,2981300,1244000,2960700,5267667,170900,12345713,762400,168200,1068800,347900,2480800,177400,1874500,3984000,769800,1820000,2767200,1579541.53595011
2000-02-02,46.75,71.07848214285714,8.75,108.75364190886256,47.32,10.99,17.95,35.33,26.83,21.56,25.643522493933173,13.07,6.35,26.75990484620491,1.1,100.4654716358839,2.62,7.54,4.11,123.26110932475885,75.23147818499127,23.58,33.03,16.93,30.51,31.19,32.38,15.51,20.09,13.5,4.56,8.76,13.28,21.54,14.27,5.7,21.0,18.77,7.44,80.24488994864271,1945177,7727692.546583851,10301829,816232.9207032651,9976900,4690132,836503,16296900,3455746,3341700,2903558.1295501213,7380000,456000,2787565.479088294,40953600,2627121.4379947227,335580,597300,1836000,1076188.7459807075,4043630.4799301918,5791600,2066300,1533300,3099000,4865550,81000,7527141,555800,129800,312000,908500,2565200,504700,750500,6660000,551400,1361200,1298700,1579541.53595011
2000-02-03,47.52,71.07848214285714,8.8,108.75364190886256,47.56,11.01,17.74,34.38,27.06,21.87,25.643522493933173,13.42,6.51,26.75990484620491,1.08,100.4654716358839,2.6,7.65,4.38,123.26110932475885,75.23147818499127,23.01,33.13,17.09,31.02,30.93,35.0,15.35,20.22,12.88,5.44,8.38,13.19,21.89,14.43,5.65,22.22,18.73,7.47,80.24488994864271,1779514,7727692.546583851,8176192,816232.9207032651,7613000,3586636,676705,8475600,3094317,3161400,2903558.1295501213,4574200,496800,2787565.479088294,39974400,2627121.4379947227,1194420,773500,1960400,1076188.7459807075,4043630.4799301918,10237200,2643600,1375500,3275900,4059952,255500,9268876,551000,157100,2494400,553600,1836000,175100,629100,13720800,523800,1603300,2058900,1579541.53595011
2000-02-04,46.6,71.07848214285714,9.12,108.75364190886256,48.02,11.01,17.74,36.5,26.77,22.18,25.643522493933173,12.98,6.65,26.75990484620491,1.12,100.4654716358839,2.61,7.59,4.42,123.26110932475885,75.23147818499127,22.68,32.94,17.03,32.59,30.45,37.88,15.4,20.91,13.12,5.82,8.48,13.39,21.45,14.32,5.79,23.75,18.93,7.58,80.24488994864271,1145661,7727692.546583851,13315412,816232.9207032651,8069600,4687554,683675,3219900,3108922,2310000,2903558.1295501213,5162200,462000,2787565.479088294,34313600,2627121.4379947227,792540,481200,1971200,1076188.7459807075,4043630.4799301918,6906000,1717600,550300,5717100,4466681,454200,6965991,667000,247700,2258400,348700,1458000,82900,841400,7199200,615400,1313000,1044000,1579541.53595011
2000-02-07,48.58,71.07848214285714,8.95,108.75364190886256,51.41,10.93,17.74,38.27,26.59,22.29,25.643522493933173,12.96,6.7,26.75990484620491,1.3,100.4654716358839,2.61,7.65,4.48,123.26110932475885,75.23147818499127,22.49,32.14,16.88,33.4,30.53,38.0,15.94,21.16,13.06,5.92,8.2,13.56,21.13,14.32,5.94,24.75,18.77,7.64,80.24488994864271,1274277,7727692.546583851,5931822,816232.9207032651,9190200,3216227,566313,3684000,3378522,2143200,2903558.1295501213,4836600,767600,2787565.479088294,55174400,2627121.4379947227,685440,574300,1440400,1076188.7459807075,4043630.4799301918,5822000,1957400,574200,4373700,4370370,370500,13399924,583400,147700,1303200,292300,1584000,162200,778700,11616800,792000,1358300,1508400,1579541.53595011
2000-02-08,48.28,71.07848214285714,9.03,108.75364190886256,52.39,10.91,17.53,43.29,26.39,21.86,25.643522493933173,14.22,6.76,26.75990484620491,1.42,100.4654716358839,2.61,7.42,4.72,123.26110932475885,75.23147818499127,22.66,32.14,16.93,33.65,30.6,37.38,16.29,21.86,14.62,5.97,8.34,13.99,21.0,13.86,5.71,25.78,19.54,7.62,80.24488994864271,1169707,7727692.546583851,10834240,816232.9207032651,11108300,2740144,800115,5076900,4707090,3466800,2903558.1295501213,15600200,434400,2787565.479088294,42739200,2627121.4379947227,870060,713800,1374400,1076188.7459807075,4043630.4799301918,6125400,2536700,973700,3328600,4128282,224100,16190178,658200,349900,1018400,196500,1635200,95200,684200,8325600,594200,2262300,421800,1579541.53595011
2000-02-09,46.29,71.07848214285714,9.55,108.75364190886256,49.65,10.9,17.65,41.0,25.87,22.51,25.643522493933173,13.87,6.83,26.75990484620491,1.31,100.4654716358839,2.55,6.86,4.48,123.26110932475885,75.23147818499127,22.09,31.35,16.93,33.14,28.96,37.06,15.56,21.63,13.62,6.24,8.34,14.18,21.0,13.61,5.5,24.12,19.42,7.53,80.24488994864271,1182848,7727692.546583851,14133855,816232.9207032651,7774100,4550584,1524995,3266100,3549151,5363100,2903558.1295501213,8177600,886400,2787565.479088294,36944000,2627121.4379947227,1058760,1495000,709600,1076188.7459807075,4043630.4799301918,12422600,3211000,918900,3685400,7259810,236700,11812389,718600,272000,1652000,326700,1752400,90200,482700,7526400,286000,1424300,1130100,1579541.53595011
2000-02-10,46.87,71.07848214285714,9.3,108.75364190886256,48.44,10.5,17.14,39.06,25.4,23.06,25.643522493933173,14.45,6.88,26.75990484620491,1.32,100.4654716358839,2.65,6.52,4.5,123.26110932475885,75.23147818499127,21.54,31.64,15.89,32.55,27.99,37.38,15.08,21.83,14.56,6.5,8.43,13.47,21.13,13.35,5.9,24.12,19.86,7.38,80.24488994864271,1066814,7727692.546583851,14272416,816232.9207032651,8880100,3118286,874530,2262600,4034453,3891000,2903558.1295501213,9923200,394400,2787565.479088294,31875200,2627121.4379947227,704820,1307800,1322000,1076188.7459807075,4043630.4799301918,11344800,2080000,2522800,2088800,7356436,62200,11148685,422400,226900,823200,943200,1172400,141000,320800,20888000,560800,1878600,1025700,1579541.53595011
2000-02-11,46.06,71.07848214285714,9.0,108.75364190886256,46.53,10.27,17.06,39.6,24.83,23.35,25.643522493933173,14.09,6.68,26.75990484620491,1.34,100.4654716358839,2.45,6.23,4.49,123.26110932475885,75.23147818499127,21.46,31.42,15.68,31.19,26.47,37.31,15.08,22.43,15.75,6.13,8.29,12.92,20.46,13.25,5.71,25.47,19.21,7.31,80.24488994864271,751705,7727692.546583851,6961002,816232.9207032651,8105000,2643308,751018,2169600,3590337,3099600,2903558.1295501213,4843200,336800,2787565.479088294,35638400,2627121.4379947227,3347130,983900,762000,1076188.7459807075,4043630.4799301918,10233200,3268100,3993600,6163300,9655643,68100,10721288,1039400,303800,446400,1692500,808800,97700,314100,18896000,634800,1228000,1032300,1579541.53595011
2000-02-14,46.71,71.07848214285714,9.28,108.75364190886256,48.34,10.36,17.61,39.6,25.3,23.37,25.643522493933173,14.18,6.55,26.75990484620491,1.44,100.4654716358839,2.7,6.74,4.58,123.26110932475885,75.23147818499127,21.51,30.97,15.74,31.45,26.8,37.88,15.08,23.72,16.0,6.15,8.1,13.2,21.09,13.45,5.8,25.81,19.34,7.22,80.24488994864271,837682,7727692.546583851,6156593,816232.9207032651,8794600,2705534,786995,1397400,3320526,1349700,2903558.1295501213,4464000,214400,2787565.479088294,34112000,2627121.4379947227,1334160,902200,912400,1076188.7459807075,4043630.4799301918,7373000,2758000,622200,4625300,9361889,54400,8846644,1401200,110600,395200,242400,1806800,159400,455700,7276000,264400,966100,753600,1579541.53595011
